"id","name","mimeType","modifiedTime","parentId","path","depth","isFolder"
"1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","Growth","application/vnd.google-apps.folder","2026-01-07T06:43:26.343Z","0AO3cbp3lyACtUk9PVA","/Drive/Growth","1","true"
"1TYTQmvENtHmz-1AF8XWIFarZRLCWJR4Z","Operations","application/vnd.google-apps.folder","2026-01-06T15:14:52.356Z","0AO3cbp3lyACtUk9PVA","/Drive/Operations","1","true"
"1KrnlcweSn78ZT_rJIWsZvzcBMj4qk675","Delivery","application/vnd.google-apps.folder","2026-01-06T15:14:46.303Z","0AO3cbp3lyACtUk9PVA","/Drive/Delivery","1","true"
"1jgY7KJ5EgKJRS7B9Zlj9QBIz20y3nzo_","Email Campaigns","application/vnd.google-apps.folder","2026-01-10T12:44:33.650Z","1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","/Drive/Growth/Email Campaigns","2","true"
"16wDIF8EIKaCR1tv6rfFOn8kbKnsELxpn","PPC Campaigns","application/vnd.google-apps.folder","2026-01-10T12:44:33.152Z","1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","/Drive/Growth/PPC Campaigns","2","true"
"1wiZPaTkMYHIL95xyvMi_xl6TuMp7XpKS","Partnerships","application/vnd.google-apps.folder","2026-01-10T12:44:32.458Z","1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","/Drive/Growth/Partnerships","2","true"
"17HDnpXKG2vsSJlSX7x_g2dnI5s4WR4yT","Content Library","application/vnd.google-apps.folder","2026-01-10T12:44:31.676Z","1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","/Drive/Growth/Content Library","2","true"
"1gVFdmxOf_munDLtBVNPFXVgpYOg7Qh5c","Goals","application/vnd.google-apps.folder","2026-01-09T08:40:42.827Z","1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","/Drive/Growth/Goals","2","true"
"16fVH1VDqawzleaiWwCq_c7DbBWej8S-4","Partnerships/Clients/","application/vnd.google-apps.folder","2026-01-09T08:16:39.479Z","1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","/Drive/Growth/Partnerships/Clients/","2","true"
"1XuZ1nNew5C8G0ojQqYfiw0bjmkvjKNTj","Strategy","application/vnd.google-apps.folder","2026-01-09T08:15:22.489Z","1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","/Drive/Growth/Strategy","2","true"
"1fyFMxfhqfTtdVWBan2PNEgaY2x-6IBHP","Quantum Events.zip","application/zip","2026-01-06T14:40:29.000Z","1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","/Drive/Growth/Quantum Events.zip","2","false"
"15WgY--jLJGlULwup3IydrlwjAp95Mt_A","Events","application/vnd.google-apps.folder","2026-01-05T17:15:37.627Z","1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","/Drive/Growth/Events","2","true"
"1l9P-V6hzFmR5UAmUN88pbZwBzLMNw85j","Products","application/vnd.google-apps.folder","2026-01-05T17:15:29.964Z","1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","/Drive/Growth/Products","2","true"
"1oltATMMY8Sem_L3ghOJJo3zQ4vbMRsP0","Brand","application/vnd.google-apps.folder","2025-12-27T23:15:46.263Z","1WseWMPWSkRbLQEOKyq-Fdifz9bt8esdf","/Drive/Growth/Brand","2","true"
"11bfVEIuQOV1AlYescm92Mj3hs6Yp1O51","Email Marketing","application/vnd.google-apps.folder","2026-01-10T12:44:31.058Z","1TYTQmvENtHmz-1AF8XWIFarZRLCWJR4Z","/Drive/Operations/Email Marketing","2","true"
"1wOV4hRCXqm4fPUhdeqmwixZlNVrUoV2C","Lifecycle + Retention","application/vnd.google-apps.folder","2026-01-10T12:44:30.580Z","1TYTQmvENtHmz-1AF8XWIFarZRLCWJR4Z","/Drive/Operations/Lifecycle + Retention","2","true"
"1QXryagBme-0NBgYKQPlMsMJMBhUNkPiz","PPC","application/vnd.google-apps.folder","2026-01-10T12:44:30.098Z","1TYTQmvENtHmz-1AF8XWIFarZRLCWJR4Z","/Drive/Operations/PPC","2","true"
"1QUF6fBJBiFskc3VAo6drA6bUfk4vjnDI","Admin + Legal","application/vnd.google-apps.folder","2026-01-10T12:44:29.598Z","1TYTQmvENtHmz-1AF8XWIFarZRLCWJR4Z","/Drive/Operations/Admin + Legal","2","true"
"1uCAoK1qt4103YNOLvfdcSqyFQ75PPyc3","Playbooks + SOPs","application/vnd.google-apps.folder","2026-01-10T12:44:29.093Z","1TYTQmvENtHmz-1AF8XWIFarZRLCWJR4Z","/Drive/Operations/Playbooks + SOPs","2","true"
"1FqgGXqco9jT0kaq6CLH26DIL2jkMCBVV","Unit Economics","application/vnd.google-apps.folder","2026-01-10T12:44:28.520Z","1TYTQmvENtHmz-1AF8XWIFarZRLCWJR4Z","/Drive/Operations/Unit Economics","2","true"
"1MNWTXrQfifR5qgyumaSuviO7oKMF5EtK","CRM + BI","application/vnd.google-apps.folder","2026-01-10T12:44:27.900Z","1TYTQmvENtHmz-1AF8XWIFarZRLCWJR4Z","/Drive/Operations/CRM + BI","2","true"
"1RkmUpNax4veVAxSXe1wU8woRunnLXAa6","Ops Control","application/vnd.google-apps.folder","2026-01-10T12:44:27.266Z","1TYTQmvENtHmz-1AF8XWIFarZRLCWJR4Z","/Drive/Operations/Ops Control","2","true"
